Platted_Name;Subdivision;Document1;Document2;Book;Page
Ridgmar Landing;RIDGMAR LANDING;1978007801;;G;"67"
LISD Elementary School 9 - Bagdad Elementary;LISD ELEMENTARY SCHOOL;9856123;;Q;"123"
Lakeline Ranch Ph 1;LAKELINE RANCH;2002021065;;V;"310"
Leander 2243 Lot 10 Replat;LEANDER 2243;2007012534;;DD;"16"
Mason Creek North Sec 2 Replat Lots 22-23 Blk C;MASON CREEK NORTH;9433698;;L;"111"
Old Town Village Sec 3 Lots 14-19 Blk C And Lots 8-10 Blk F Replat;OLD TOWN VILLAGE;2005099538;;BB;"88"
"High Gabriel West Lots 20, 21, And 35 (Amd)";HIGH GABRIEL;2004034869;;Y;"339"
Saccone;SACCONE;2006042067;;BB;"344"
Live Oak Ranch Resub Tract 10 Block B;LIVE OAK RANCH;8917480;;J;"254"
HEB Leander;HEB LEANDER;2003102221;;;
Live Oak Ranch Lot 4 Block C Replat;LIVE OAK RANCH;200509272;;BB;"17"
High Chaparral Lot 9 Block 8 Resub;HIGH CHAPARRAL;0;;E;"129"
Retreat At Hero Way ;RETREAT AT HERO WAY;2020149467;;;
South San Gabriel Ranches Resub Lot 2;SOUTH SAN GABRIEL RANCHES;9506831;;L;"290"
Reserve At North Fork;RESERVE AT NORTH FORK;2021129352;;;
LISD Elementary School #17;LISD ELEMENTARY SCHOOL;2006059390;;CC;"48"
Live Oak Ranch Sec 1;LIVE OAK RANCH;0;;B;"191"
Leander Heights Sec 3 Lot 14 And 15 Blk A (Resub);LEANDER HEIGHTS;9540652;;M;"145"
Live Oak Ranch Resub Lots 5-7 Block B;LIVE OAK RANCH;2003029600;;X;"145"
South San Gabriel Ranches Lot 3 (Resub);SOUTH SAN GABRIEL RANCHES;9509732;;L;"313"
Crystal Springs Ph 2 Sec 1;CRYSTAL SPRINGS;2019083349;;;
Rancho Sienna Sec 3;RANCHO SIENNA;2014077299;;;
Highlands At Crystal Falls Sec 2 Ph 3B;HIGHLANDS AT CRYSTAL FALLS;2011065392;;;
High Gabriel East Sec 1;HIGH GABRIEL;0;;B;254-255
Rancho Sienna Sec 1;RANCHO SIENNA;2008080360;;;
Mason Creek North Sec 1 Replat;MASON CREEK NORTH;8532763;;G;"211"
Lion Acres;LION ACRES;8415581;;F;"9"
Ridgmar Landing (Blk 2 Lot 30 Resub);RIDGMAR LANDING;8513246;;F;"373"
