OBJECTID,Platted_Name,Subdivision,Phase,Section,Case_Number,Recorded_Date,Document1,Document2,Legal_Acres,Recorded_County1,Recorded_County2,Book,Page,Res_Lots,Comm_Lots,Total_Lots,Development_Status,MF_Category,MF_Complex_Name,Accepted_Subd,Addressing_Status,Address_Release_Date,City_Jurisdiction,County_Jurisdiction,Geometry_Source,Subdivision_Category,Platted_Name_UC,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ResLotsApprox
1,Ridgmar Landing,RIDGMAR LANDING,,,,4/24/1978,1978007801,,387.231,Williamson,,G,"67",70,0,70,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGMAR LANDING,{7D77B727-F385-44FE-B062-92DEDA129A29},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
2,LISD Elementary School 9 - Bagdad Elementary,LISD ELEMENTARY SCHOOL,,"9",,9/25/1998,9856123,,14.54,Williamson,,Q,"123",0,1,1,DEV,,,Yes,REL,,City,W,WCAD,CIV,LISD ELEMENTARY SCHOOL 9 - BAGDAD ELEMENTARY,{24663FB8-3AA7-435D-8087-38011DAD1509},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
3,Lakeline Ranch Ph 1,LAKELINE RANCH,"1","1",,11/27/2001,2002021065,,81.974,Williamson,,V,"310",235,0,257,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LAKELINE RANCH PH 1,{A7A1E4FA-2428-4DEE-81ED-BC8AA389312F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
4,Leander 2243 Lot 10 Replat,LEANDER 2243,,"10",,1/23/2007,2007012534,,5.705,Williamson,,DD,"16",0,2,2,DEV,N/A,,Yes,REL,,City,W,WCAD,COM,LEANDER 2243 LOT 10 REPLAT,{FE00ADF5-E3B4-4263-8A03-D9245DAF8E78},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
5,Mason Creek North Sec 2 Replat Lots 22-23 Blk C,MASON CREEK NORTH,,"2",,7/6/1994,9433698,,0.548,Williamson,,L,"111",2,0,2,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK NORTH SEC 2 REPLAT LOTS 22-23 BLK C,{A2F09C04-67E3-4966-981A-26514C4A33C2},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
6,Old Town Village Sec 3 Lots 14-19 Blk C And Lots 8-10 Blk F Replat,OLD TOWN VILLAGE,,"3",,6/29/2005,2005099538,,1.748,Williamson,,BB,"88",6,0,6,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OLD TOWN VILLAGE SEC 3 LOTS 14-19 BLK C AND LOTS 8-10 BLK F REPLAT,{DECD3874-AB12-439D-8934-CCE1C80D5FBA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
10,HEB Leander,HEB LEANDER,,,,10/20/2003,2003102221,,52.769,Williamson,,,,0,3,3,DEV,N/A,,Yes,REL,,City,W,WCAD,COM,HEB LEANDER,{8C08C9D0-49BD-4C85-B49D-ABD6699D9D7C},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
12,High Chaparral Lot 9 Block 8 Resub,HIGH CHAPARRAL,,"8",,8/23/1982,0,,1.34,Williamson,,E,"129",1,0,1,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGH CHAPARRAL LOT 9 BLOCK 8 RESUB,{4E8B2A71-92B6-4667-82B2-50807FBF0533},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
13,Retreat At Hero Way ,RETREAT AT HERO WAY,,,,11/25/2020,2020149467,,14.677,Williamson,,,,0,2,2,UC,TH,Retreat at Hero Way ,Yes,REL,2021/08/03 00:00:00+00,City,W,WCAD,MULTI,RETREAT AT HERO WAY ,{070D2572-8907-4FA6-838D-5DC4FF15935D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
16,LISD Elementary School #17,LISD ELEMENTARY SCHOOL,,"17",,7/11/2006,2006059390,,20.36,Williamson,,CC,"48",0,1,1,DEV,,,Yes,REL,,City,W,WCAD,CIV,LISD ELEMENTARY SCHOOL #17,{DE1DD50C-CD97-4AD2-904C-3F7032549D9F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
